bot_config,lam_confirm,lam_disconfirm,session_id,round,draw_red,draw_blue,true_bayes_mode,bot_mode,modes_diverge,quadratic_score
bayesian,0.0,0.0,43,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,43,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,43,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,43,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,43,5,0,3,11,11,0,0.16889017298299464
bayesian,0.0,0.0,44,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,44,2,0,3,10,10,0,0.1191663800022933
bayesian,0.0,0.0,44,3,2,1,11,11,0,0.19219197678078132
bayesian,0.0,0.0,44,4,1,2,10,10,0,0.0948392744746587
bayesian,0.0,0.0,44,5,2,1,11,11,0,0.16889017298299483
bayesian,0.0,0.0,45,1,0,3,0,0,0,-0.09864184270199308
bayesian,0.0,0.0,45,2,2,1,6,6,0,-0.01803835569315443
bayesian,0.0,0.0,45,3,2,1,9,9,0,0.03501169576149098
bayesian,0.0,0.0,45,4,1,2,8,8,0,-0.09935926399238204
bayesian,0.0,0.0,45,5,3,0,11,11,0,0.16889017298299477
bayesian,0.0,0.0,46,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,46,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,46,3,1,2,11,11,0,0.19219197678078132
bayesian,0.0,0.0,46,4,2,1,12,12,0,0.27428071831633094
bayesian,0.0,0.0,46,5,2,1,12,12,0,0.3809107442517137
bayesian,0.0,0.0,47,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,47,2,1,2,10,10,0,0.11916638000229333
bayesian,0.0,0.0,47,3,2,1,11,11,0,0.19219197678078134
bayesian,0.0,0.0,47,4,1,2,10,10,0,0.09483927447465867
bayesian,0.0,0.0,47,5,2,1,11,11,0,0.1688901729829948
bayesian,0.0,0.0,48,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,48,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,48,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,48,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,48,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,49,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,49,2,1,2,6,6,0,-0.01803835569315447
bayesian,0.0,0.0,49,3,2,1,9,9,0,0.03501169576149092
bayesian,0.0,0.0,49,4,2,1,10,10,0,0.09483927447465862
bayesian,0.0,0.0,49,5,3,0,12,12,0,0.38091074425171356
bayesian,0.0,0.0,50,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,50,2,1,2,10,10,0,0.11916638000229333
bayesian,0.0,0.0,50,3,2,1,11,11,0,0.19219197678078134
bayesian,0.0,0.0,50,4,3,0,13,13,0,0.1717455435816172
bayesian,0.0,0.0,50,5,1,2,12,12,0,0.3809107442517138
bayesian,0.0,0.0,51,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,51,2,1,2,10,10,0,0.11916638000229333
bayesian,0.0,0.0,51,3,2,1,11,11,0,0.19219197678078134
bayesian,0.0,0.0,51,4,3,0,13,13,0,0.1717455435816172
bayesian,0.0,0.0,51,5,2,1,13,13,0,0.12947396111233603
bayesian,0.0,0.0,52,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,52,2,1,2,13,13,0,0.14088837289301687
bayesian,0.0,0.0,52,3,3,0,16,16,0,-0.01800968856186927
bayesian,0.0,0.0,52,4,0,3,12,12,0,0.27428071831633105
bayesian,0.0,0.0,52,5,3,0,13,13,0,0.12947396111233597
bayesian,0.0,0.0,53,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,53,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,53,3,1,2,9,9,0,0.035011695761490935
bayesian,0.0,0.0,53,4,2,1,10,10,0,0.09483927447465862
bayesian,0.0,0.0,53,5,2,1,11,11,0,0.1688901729829946
bayesian,0.0,0.0,54,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,54,2,0,3,3,3,0,-0.10647144822841417
bayesian,0.0,0.0,54,3,2,1,6,6,0,-0.0932885126729747
bayesian,0.0,0.0,54,4,3,0,10,10,0,0.09483927447465859
bayesian,0.0,0.0,54,5,2,1,11,11,0,0.1688901729829946
bayesian,0.0,0.0,55,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,55,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,55,3,0,3,9,9,0,0.03501169576149098
bayesian,0.0,0.0,55,4,2,1,10,10,0,0.09483927447465865
bayesian,0.0,0.0,55,5,2,1,11,11,0,0.1688901729829948
bayesian,0.0,0.0,56,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,56,2,2,1,17,17,0,-0.009051427588579297
bayesian,0.0,0.0,56,3,2,1,16,16,0,-0.01800968856186927
bayesian,0.0,0.0,56,4,2,1,15,15,0,-0.062306743348037166
bayesian,0.0,0.0,56,5,0,3,12,12,0,0.38091074425171373
bayesian,0.0,0.0,57,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,57,2,2,1,17,17,0,-0.009051427588579297
bayesian,0.0,0.0,57,3,1,2,13,13,0,0.16518572722541386
bayesian,0.0,0.0,57,4,0,3,10,10,0,0.0948392744746587
bayesian,0.0,0.0,57,5,3,0,12,12,0,0.3809107442517138
bayesian,0.0,0.0,58,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,58,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,58,3,3,0,16,16,0,-0.01800968856186927
bayesian,0.0,0.0,58,4,0,3,12,12,0,0.27428071831633094
bayesian,0.0,0.0,58,5,2,1,12,12,0,0.3809107442517136
bayesian,0.0,0.0,59,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,59,2,1,2,13,13,0,0.14088837289301687
bayesian,0.0,0.0,59,3,1,2,11,11,0,0.1921919767807813
bayesian,0.0,0.0,59,4,1,2,10,10,0,0.0948392744746587
bayesian,0.0,0.0,59,5,3,0,12,12,0,0.3809107442517137
bayesian,0.0,0.0,60,1,0,3,0,0,0,-0.09864184270199308
bayesian,0.0,0.0,60,2,2,1,6,6,0,-0.01803835569315443
bayesian,0.0,0.0,60,3,2,1,9,9,0,0.03501169576149098
bayesian,0.0,0.0,60,4,2,1,10,10,0,0.09483927447465873
bayesian,0.0,0.0,60,5,3,0,12,12,0,0.3809107442517138
bayesian,0.0,0.0,61,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,61,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,61,3,2,1,13,13,0,0.16518572722541386
